co2;temp;hum;label
1440.48;22.24;28.93;1
1441.48;22.24;28.96;1
1441.61;22.26;28.93;1
1441.46;22.24;28.91;1
1441.74;22.24;28.94;1
1442.55;22.26;28.88;1
1443.33;22.29;28.86;1
1442.44;22.26;28.87;1
1442.51;22.29;28.87;1
1442.14;22.26;28.84;1
1442.0;22.27;28.83;1
1442.35;22.29;28.77;1
1442.78;22.29;28.81;1
1443.61;22.29;28.84;1
1444.57;22.27;28.9;1
1444.6;22.27;28.83;1
1444.89;22.29;28.88;1
1444.61;22.29;28.86;1
1445.58;22.29;28.92;1
1446.57;22.29;28.93;1
1446.6;22.26;28.96;1
1446.8;22.27;28.97;1
1445.54;22.26;29.0;1
1446.75;22.27;29.03;1
1446.63;22.24;29.06;1
1448.31;22.26;29.06;1
1448.43;22.26;29.0;1
1448.68;22.29;29.0;1
1450.14;22.27;28.96;1
1452.02;22.27;28.94;1
1452.13;22.26;28.97;1
1452.7;22.27;28.93;1
1454.45;22.27;28.96;1
1456.4;22.24;29.03;1
1455.7;22.26;28.99;1
1454.87;22.24;28.99;1
1454.02;22.24;29.03;1
1455.07;22.24;29.01;1
1456.01;22.24;28.96;1
1456.54;22.24;28.97;1
1458.11;22.27;29.03;1
1460.48;22.26;28.99;1
1461.34;22.24;28.99;1
1460.71;22.26;29.03;1
1460.48;22.26;29.06;1
1460.83;22.24;29.1;1
1460.98;22.24;29.06;1
1461.75;22.24;29.06;1
1463.31;22.26;29.0;1
1464.68;22.26;28.99;1
1463.79;22.24;29.05;1
1462.53;22.22;29.1;1
1462.56;22.27;29.05;1
1462.36;22.23;29.06;1
1462.63;22.24;29.16;1
1461.75;22.24;29.16;1
1462.0;22.23;29.21;1
1461.12;22.23;29.22;1
1460.99;22.2;29.19;1
1461.89;22.24;29.21;1
1462.28;22.2;29.23;1
1462.69;22.22;29.32;1
1462.55;22.24;29.26;1
1462.88;22.23;29.22;1
1463.44;22.24;29.1;1
1464.26;22.24;29.09;1
1464.26;22.24;29.24;1
1464.5;22.2;29.19;1
1465.14;22.23;29.13;1
1465.91;22.23;29.16;1
1466.93;22.23;29.16;1
1466.83;22.23;29.13;1
1467.3;22.24;29.16;1
1468.16;22.24;29.22;1
1468.72;22.23;29.29;1
1468.85;22.24;29.32;1
1469.21;22.2;29.29;1
1468.98;22.22;29.25;1
1468.62;22.22;29.26;1
1468.6;22.22;29.23;1
1469.12;22.23;29.29;1
1469.45;22.23;29.29;1
1470.4;22.23;29.22;1
1470.13;22.23;29.28;1
1470.88;22.22;29.29;1
1469.92;22.22;29.29;1
1469.69;22.23;29.29;1
1469.99;22.24;29.21;1
1471.72;22.24;29.21;1
1471.88;22.22;29.29;1
1472.64;22.22;29.38;1
1473.74;22.23;29.31;1
1473.15;22.22;29.28;1
1473.59;22.2;29.29;1
1473.33;22.23;29.29;1
1472.26;22.22;29.25;1
1472.07;22.22;29.28;1
1471.61;22.22;29.26;1
1470.76;22.2;29.21;1
1470.63;22.22;29.21;1
1472.35;22.24;29.21;1
1473.14;22.2;29.26;1
1472.45;22.23;29.28;1
1472.75;22.22;29.28;1
1474.69;22.22;29.26;1
1474.4;22.2;29.28;1
1475.56;22.23;29.16;1
1476.91;22.22;29.23;1
1478.21;22.24;29.24;1
1476.66;22.22;29.25;1
1477.93;22.23;29.26;1
1475.66;22.2;29.31;1
1474.88;22.22;29.38;1
1473.44;22.22;29.38;1
1472.83;22.2;29.38;1
1475.65;22.2;29.39;1
1475.55;22.2;29.41;1
1477.19;22.22;29.38;1
1481.58;22.2;29.34;1
1480.82;22.19;29.35;1
1479.32;22.19;29.34;1
1475.84;22.22;29.37;1
1475.83;22.2;29.37;1
1476.94;22.19;29.37;1
1477.18;22.2;29.37;1
1477.85;22.19;29.43;1
1479.08;22.19;29.35;1
1480.57;22.2;29.43;1
1481.54;22.22;29.38;1
1480.18;22.19;29.45;1
1479.72;22.2;29.38;1
1480.82;22.22;29.31;1
1480.58;22.23;29.38;1
1480.6;22.22;29.35;1
1481.88;22.2;29.32;1
1483.35;22.23;29.34;1
1483.82;22.26;29.31;1
1482.89;22.23;29.26;1
1483.58;22.24;29.3;1
1484.3;22.23;29.32;1
1482.86;22.23;29.35;1
1483.64;22.23;29.35;1
1481.9;22.26;29.4;1
1481.31;22.24;29.32;1
1479.04;22.26;29.34;1
1480.56;22.23;29.37;1
1480.89;22.23;29.32;1
1482.35;22.24;29.25;1
1482.27;22.24;29.25;1
1483.46;22.26;29.31;1
1484.92;22.24;29.3;1
1485.41;22.24;29.26;1
1487.32;22.27;29.27;1
1489.24;22.26;29.37;1
1488.81;22.26;29.36;1
1488.21;22.27;29.42;1
1487.69;22.24;29.37;1
1488.47;22.27;29.4;1
1488.68;22.27;29.36;1
1486.29;22.27;29.36;1
1486.23;22.29;29.32;1
1486.74;22.32;29.29;1
1488.78;22.29;29.27;1
1487.99;22.29;29.26;1
1487.29;22.29;29.26;1
1488.2;22.29;29.24;1
1490.13;22.3;29.2;1
1490.95;22.27;29.3;1
1491.8;22.27;29.24;1
1491.54;22.29;29.33;1
1493.24;22.3;29.27;1
1494.5;22.29;29.32;1
1493.46;22.32;29.38;1
1492.84;22.32;29.38;1
1491.04;22.3;29.42;1
1488.73;22.32;29.3;1
1488.4;22.32;29.3;1
1488.11;22.32;29.26;1
1487.42;22.33;29.24;1
1487.96;22.32;29.17;1
1488.3;22.3;29.26;1
1487.88;22.29;29.27;1
1488.68;22.3;29.28;1
1489.49;22.33;29.29;1
1488.41;22.33;29.26;1
1487.33;22.33;29.26;1
1487.85;22.3;29.28;1
1221.17;27.03;52.86;2
1221.28;27.05;52.66;2
1221.28;27.05;49.89;2
1222.7;27.4;50.27;2
1222.42;27.34;69.95;2
1224.64;27.89;71.41;2
10712.53;28.25;76.26;2
12655.17;28.23;73.76;2
17040.9;28.45;79.97;2
